"exercise_id","exercise_name","source_priority","qa_priority","verdict","initial_review_quality","current_configuration_assessment","targets_review_status","safety_review_status","media_review_status","evidence","blockers","next_action","independent_reviewer","reviewed_at","ready_for_upsert"
"ceb4d99c-d903-4579-82a0-d61bced5d74f","Afundo Step Up com elevação de joelho","P0","P0","agree","Initial review is appropriately conservative; quadriceps-only under-describes a unilateral step/afundo pattern and does not invent coefficients.","Current targets are incomplete: Quadríceps primary 100 only. Metadata has knee/valgus limitations and local video assets; target matrix omits hip-extension exposure.","needs_more_info","not_in_scope","not_in_scope","Snapshot v2 generated 2026-08-20T13:25:00Z; targets Quadríceps primary 100; metadata dor_joelho_aguda/joelho/valgo_dinamico; YouTube oEmbed y6QXIMS1TtA title Afundo com step; CloudFront MP4 HEAD 200.","Exact execution; support; box height/load; coefficient scale. Anatomy must be reviewed separately from the functional step-up label.","Keep out of upsert. Request technical demo review and second reviewer for anatomical roles; retain knee/valgus metadata until confirmed.","Codex independent QA","2026-08-20T14:00:35-0300","false"
"e1000001-0000-0000-0000-000000000003","Crucifixo na Máquina","P0","P0","agree","Initial review correctly accepts pectoral primary while questioning triceps and machine-dependent anterior deltoid contribution.","Current targets are partially inconsistent: Peitoral primary plausible; Tríceps secondary mechanically suspect for fly pattern with stable elbow; Deltoide Anterior depends on machine/path.","needs_more_info","needs_more_info","not_in_scope","Snapshot v2 targets Deltoide Anterior secondary 0.5; Tríceps secondary 0.5; Peitoral primary 1; safety metadata empty; YouTube oEmbed 9BEQWr0u-ac title Crucifixo Máquina em 5 PASSOS.","No reviewed elbow angle; machine arc; local video; safety metadata; coefficient source.","Keep needs_more_info. Inspect demonstration frame-by-frame or in-gym standard before removing/retaining secondaries.","Codex independent QA","2026-08-20T14:00:35-0300","false"
"68435077-73bf-4ad9-9f10-1cf1f7fe35b8","Flexão de braço","P0","P0","agree","Initial review is sound: pectoral primary is coherent and single-target setup omits expected pressing contributors.","Current targets are incomplete: Peitoral primary 100 only. Beginner/bodyweight metadata has generic regressions but lacks pain tags; media is marked duplicate-cluster needs_review.","needs_more_info","needs_more_info","needs_more_info","Snapshot v2 targets Peitoral primary 100; video cluster yt-043 needs_review; YouTube oEmbed pRzxpe5_LLk title PARE com esse ERRO na flexão.","Duplicate video cluster unresolved; variant; hand width; ROM; safety metadata absent.","Keep needs_more_info. Resolve media cluster and define canonical push-up variant before anatomical target approval.","Codex independent QA","2026-08-20T14:00:35-0300","false"
"6cf6f6ed-9022-459c-b5ae-cbe499ba4b33","Graviton Pronado","P0","P1","agree","Initial review is conservative and mostly correct: Dorsal primary is plausible but single-target setup likely undercounts elbow flexors/scapular contributors.","Current targets are incomplete but not obviously wrong: Dorsal primary 1 only. Safety metadata is generic and lacks shoulder/elbow notes despite assisted pronated pull pattern.","needs_more_info","needs_more_info","not_in_scope","Snapshot v2 targets Dorsal primary 1; metadata generic only; YouTube oEmbed 9_ULzUWpTt8 title Puxada Pronada no Graviton.","Safety tags absent; exact apparatus and target coefficients unresolved.","Keep needs_more_info. Review canonical demo and decide accessory targets without assigning coefficients from name alone.","Codex independent QA","2026-08-20T14:00:35-0300","false"
"d65552e0-a929-4a03-9be0-0bb86899e428","Kettlebell swing","P0","P0","agree","Initial review correctly flags a taxonomy conflict: Performance is not an anatomical weekly-volume target.","Current target is invalid for anatomical volume: Performance primary 100. Metadata has useful safety constraints for knee/lumbar/return-to-lesion but does not solve target taxonomy.","needs_more_info","not_in_scope","not_in_scope","Snapshot v2 targets Performance primary 100; metadata dor_joelho_aguda/dor_lombar_aguda/fase_inicial_retorno_lesao/butt_wink_severo; YouTube oEmbed n1df4ASFeZU title Fix your form: the kettlebell swing edition.","Functional target used as muscle group; no reviewed anatomical mapping; high technical/safety dependence.","Keep out of upsert. Move/retain Performance only as functional taxonomy after schema decision; request biomechanical target mapping separately.","Codex independent QA","2026-08-20T14:00:35-0300","false"
"ab73db0f-26d0-4e3e-931f-4e22e687e036","Mobilidade Sapinho 🐸","P0","P0","agree","Initial review correctly identifies Mobilidade as a purpose/category; not a comparable anatomical strength-volume target.","Current target is taxonomic not anatomical: Mobilidade primary 100. Metadata has mobility/gradual-return tags and local media exists; this should not be silently counted as muscle volume.","needs_more_info","not_in_scope","not_in_scope","Snapshot v2 targets Mobilidade primary 100; pain tags mobilidade/retorno_gradual; YouTube oEmbed CMWjfRVkcqo title Mobilidade Sapinho; CloudFront MP4 HEAD 200.","Schema intent unresolved: mobility drill may need functional category; mobility region; or exclusion from strength volume.","Keep needs_more_info. Decide taxonomy treatment for mobility drills before anatomical target upsert.","Codex independent QA","2026-08-20T14:00:35-0300","false"
"185147fa-6622-4a7d-a7f2-cc61dffe2c45","Prancha com pés no TRX","P0","P0","agree","Initial review correctly flags Estabilidade as functional taxonomy and notes current config cannot drive anatomical weekly-volume reporting.","Current target is taxonomic: Estabilidade primary 100. TRX plank metadata has no pain tags and advanced difficulty; anatomical contributors depend on body position and anti-extension/shoulder demand.","needs_more_info","needs_more_info","not_in_scope","Snapshot v2 targets Estabilidade primary 100; equipment TRX; difficulty advanced; YouTube oEmbed x40aZ8TW1k4 title PRANCHA NO TRX - ISOMÉTRICA com apoio nos pés.","Functional target used as muscle; safety metadata missing despite advanced suspended plank; no canonical execution parameters.","Keep needs_more_info. Define whether stability drills are excluded; functionally tagged; or anatomically mapped after technical review.","Codex independent QA","2026-08-20T14:00:35-0300","false"
"afbe8bbe-2cf2-4404-a609-7c9647ec3eeb","Pulldown barra","P0","P0","agree","Initial review is correct to mark the row potentially inconsistent: name/video title do not disambiguate straight-arm pulldown vs elbow-flexion pulldown.","Current targets are unapproved: Dorsal primary plausible; Deltoide Posterior and Bíceps secondary depend on trajectory and elbow flexion. Metadata safety gap remains.","needs_more_info","needs_more_info","not_in_scope","Snapshot v2 targets Dorsal primary 1; Deltoide Posterior secondary 0.5; Bíceps secondary 0.5; YouTube oEmbed Lgr9JqdRp3M title Pulldown barra.","Ambiguous exercise taxonomy; missing safety tags; no reviewed video frames; coefficients are inherited heuristics.","Keep needs_more_info. Inspect actual demo and rename/classify as straight-arm pulldown or lat pulldown before targets.","Codex independent QA","2026-08-20T14:00:35-0300","false"
"9a667138-66cf-42d3-a36f-0ffb0cd611e9","Pulldown Corda","P0","P0","agree","Initial review is correct: Corda does not prove elbow flexion; so biceps secondary is not safe to approve.","Current targets are unapproved: Dorsal primary plausible but Deltoide Posterior/Bíceps secondaries depend on whether it is straight-arm rope pulldown vs pulling variant.","needs_more_info","needs_more_info","not_in_scope","Snapshot v2 targets Dorsal primary 1; Deltoide Posterior secondary 0.5; Bíceps secondary 0.5; YouTube oEmbed h7q1mwzlDCY title Pulldown na Corda.","Ambiguous movement pattern; no local media; safety metadata absent; coefficient source unclear.","Keep needs_more_info. Confirm trajectory and elbow role before keeping/removing biceps or posterior deltoid.","Codex independent QA","2026-08-20T14:00:35-0300","false"
"b222ffd2-a90e-47a2-9924-a63381446069","Remada Alta Barra","P0","P0","agree","Initial review correctly rejects the current mapping as inconsistent for an upright row pattern.","Current targets are inconsistent: Dorsal primary does not describe remada alta; Deltoide Posterior/Bíceps are suspicious; Trapézio may be relevant but is not enough to rescue row.","needs_more_info","not_in_scope","not_in_scope","Snapshot v2 muscle_group ombro; targets Dorsal primary 1; Deltoide Posterior secondary 0.5; Bíceps secondary 0.5; Trapézio secondary 0.5; metadata dor_ombro_aguda/ombro/cifose_protracao; YouTube oEmbed VE7UeEql8cc title Remada alta como se deve.","Wrong primary target; possible copied target set; coefficient/muscle taxonomy unresolved.","Keep needs_more_info and block any upsert. Perform dedicated upright-row target review with shoulder-safety constraints.","Codex independent QA","2026-08-20T14:00:35-0300","false"
